Property_ID,Locality,BHK,Area_sqft,Rate_per_sqft,Price,Property_Age,RERA
PROP0044,Sector 42,4,1982,11386,22567052,2,No
PROP0045,Sohna Road,3,1891,20658,39064278,14,No
PROP0046,Sushant Lok,3,1721,23285,40073485,11,No
PROP0047,DLF Phase 2,5,2472,18920,46770240,3,No
PROP0048,Sector 50,1,1414,11199,15835386,6,No
PROP0049,DLF Phase 2,3,2187,17262,37751994,5,Yes
PROP0050,Sector 56,1,1363,14874,20273262,11,Yes
PROP0051,DLF Phase 1,5,2884,18058,52079272,13,Yes
PROP0052,DLF Phase 2,4,2190,18331,40144890,14,Yes
PROP0053,Sector 42,2,1772,9494,16823368,13,Yes
PROP0054,New Gurgaon,4,2144,19706,42249664,12,Yes
PROP0055,Sector 56,2,1572,13450,21143400,9,Yes
PROP0056,DLF Phase 2,4,2097,18144,38047968,7,Yes
PROP0057,Sector 42,4,2473,11577,28629921,7,Yes
PROP0058,New Gurgaon,4,2066,22410,46299060,12,Yes
PROP0059,DLF Phase 1,3,2064,16174,33383136,17,Yes
PROP0060,Sector 45,3,2206,12684,27980904,13,Yes
PROP0061,Sector 50,4,2141,15488,33159808,5,Yes
PROP0062,Sector 56,2,1716,14129,24245364,7,No
PROP0063,Sushant Lok,3,1647,21650,35657550,0,Yes
PROP0064,Sector 42,2,1744,9108,15884352,5,Yes
PROP0065,Golf Course Road,2,1445,16806,24284670,5,No
PROP0066,Sector 42,3,2115,11416,24144840,14,No
PROP0067,DLF Phase 2,2,1439,17558,25265962,11,Yes
PROP0068,Sector 50,3,2039,14693,29959027,4,Yes
PROP0069,Sector 45,5,2539,15392,39080288,17,Yes
PROP0070,DLF Phase 1,4,2414,15292,36914888,18,Yes
PROP0071,New Gurgaon,3,1666,21403,35657398,20,Yes
PROP0072,Sushant Lok,2,1607,22266,35781462,4,Yes
PROP0073,Golf Course Road,2,1813,18402,33362826,3,No
PROP0074,DLF Phase 1,3,1570,16789,26358730,4,Yes
PROP0075,Golf Course Road,4,1932,20244,39111408,5,Yes
PROP0076,New Gurgaon,4,2417,23158,55972886,12,Yes
PROP0077,Sohna Road,4,2508,20766,52081128,11,No
PROP0078,Sector 50,5,2931,14620,42851220,10,Yes
PROP0079,Sector 42,3,1730,8755,15146150,16,Yes
PROP0080,Golf Course Road,4,2364,19401,45863964,1,Yes
PROP0081,Sector 42,6,3174,12748,40462152,15,Yes
PROP0082,Sector 45,2,1467,12521,18368307,9,Yes
PROP0083,Sector 50,4,2074,15312,31757088,6,Yes
PROP0084,Sector 50,4,2343,15580,36503940,15,No
PROP0085,Sector 56,6,2707,16735,45301645,19,Yes
PROP0086,Sector 45,4,1960,13639,26732440,6,Yes
PROP0087,Sohna Road,2,1684,20365,34294660,6,Yes
PROP0088,DLF Phase 2,3,1946,17949,34928754,13,Yes
PROP0089,DLF Phase 2,1,1152,15151,17453952,18,Yes
PROP0090,Golf Course Road,4,1945,20115,39123675,3,No
PROP0091,Golf Course Road,6,3077,21408,65872416,2,No
PROP0092,New Gurgaon,2,1936,20882,40427552,17,Yes
PROP0093,Sushant Lok,3,2074,22014,45657036,3,No
PROP0094,Sohna Road,4,2269,21034,47726146,14,No
PROP0095,Golf Course Road,3,1841,17987,33114067,7,No
PROP0096,Sohna Road,3,1552,21730,33724960,17,No
PROP0097,Sushant Lok,4,2127,23495,49973865,14,Yes
PROP0098,Sector 50,2,1525,13421,20467025,0,Yes
PROP0099,Sector 42,2,1754,10356,18164424,6,Yes
PROP0100,Sector 50,3,2080,13899,28909920,0,Yes
PROP0101,Sohna Road,3,1837,21037,38644969,11,Yes
PROP0102,Sector 42,2,1853,10778,19971634,7,Yes
PROP0103,New Gurgaon,4,2581,21459,55385679,9,Yes
PROP0104,DLF Phase 2,3,2000,16077,32154000,19,Yes
PROP0105,Golf Course Road,2,1313,18378,24130314,11,No
PROP0106,Golf Course Road,3,2164,19460,42111440,17,Yes
PROP0107,DLF Phase 1,2,1837,15479,28434923,1,Yes
PROP0108,Sector 50,4,2241,14788,33139908,7,Yes
PROP0109,Sushant Lok,5,2282,24310,55475420,17,Yes
PROP0110,Sohna Road,2,1670,17343,28962810,19,Yes
PROP0111,Sector 56,5,2739,17371,47579169,17,Yes
PROP0112,Golf Course Road,4,2192,19858,43528736,11,No
PROP0113,Sector 50,4,2414,12716,30696424,1,Yes
PROP0114,Sector 56,2,1385,15240,21107400,0,Yes
PROP0115,Sushant Lok,5,2482,25954,64417828,18,Yes
PROP0116,Sohna Road,3,1776,20902,37121952,13,Yes
PROP0117,Sector 56,2,1577,13516,21314732,8,Yes
PROP0118,DLF Phase 1,3,2019,15453,31199607,18,Yes
PROP0119,Sector 45,5,2655,12706,33734430,3,No
PROP0120,Sushant Lok,4,2350,23962,56310700,7,No
PROP0121,Sohna Road,2,1829,20182,36912878,8,Yes
PROP0122,Sector 42,3,1931,9893,19103383,1,Yes
PROP0123,Sector 42,3,2080,10370,21569600,17,Yes
PROP0124,Sushant Lok,3,1795,23828,42771260,14,Yes
PROP0125,DLF Phase 2,2,1561,20153,31458833,9,Yes
PROP0126,New Gurgaon,2,1596,21772,34748112,14,No
PROP0127,Golf Course Road,2,1908,19732,37648656,19,Yes
PROP0128,Sector 42,3,2084,8935,18620540,13,Yes
PROP0129,Sector 50,3,2046,15023,30737058,4,Yes
PROP0130,Sector 42,4,2408,12881,31017448,17,Yes
PROP0131,Sector 42,3,1829,11988,21926052,11,Yes
PROP0132,DLF Phase 1,2,1413,14123,19955799,2,Yes
PROP0133,Sushant Lok,3,2005,21320,42746600,18,Yes
PROP0134,New Gurgaon,4,2502,22562,56450124,10,No
PROP0135,Sushant Lok,4,2155,24312,52392360,9,No
PROP0136,Sector 42,3,2135,10272,21930720,15,Yes
PROP0137,Sector 56,3,1887,15721,29665527,10,Yes
PROP0138,Sector 45,2,1594,12430,19813420,17,Yes
PROP0139,Sector 42,3,1925,11678,22480150,18,Yes
PROP0140,Sushant Lok,4,2412,24103,58136436,10,No
PROP0141,Sector 56,3,1779,14359,25544661,4,Yes
PROP0142,New Gurgaon,3,2045,22592,46200640,3,Yes
PROP0143,Sohna Road,4,2446,18411,45033306,9,Yes
PROP0144,Sector 42,3,2037,11941,24323817,20,Yes
PROP0145,Sohna Road,3,2133,19290,41145570,20,Yes
PROP0146,Sector 42,5,2711,12005,32545555,8,No
PROP0147,Sector 56,4,2131,15034,32037454,7,Yes
PROP0148,New Gurgaon,2,1387,20203,28021561,18,Yes
PROP0149,Sector 50,1,1287,13017,16752879,2,No
PROP0150,Golf Course Road,4,2393,18792,44969256,0,Yes
PROP0151,Sector 50,4,2190,14100,30879000,11,Yes
PROP0152,DLF Phase 1,2,1356,15442,20939352,15,No
PROP0153,Sector 45,4,2149,13246,28465654,5,No
PROP0154,Sohna Road,3,2103,19445,40892835,1,Yes
PROP0155,Sector 45,2,1550,11652,18060600,17,Yes
PROP0156,Sector 50,1,1275,13332,16998300,1,Yes
PROP0157,DLF Phase 1,5,2821,17300,48803300,11,Yes
PROP0158,New Gurgaon,4,2677,20601,55148877,12,Yes
PROP0159,Golf Course Road,1,1055,17209,18155495,17,Yes
PROP0160,Golf Course Road,4,2196,17803,39095388,17,Yes
PROP0161,Sector 42,3,2098,10342,21697516,10,Yes
PROP0162,Sector 50,3,1653,13752,22732056,7,Yes
PROP0163,Sector 42,4,2550,10933,27879150,16,Yes
PROP0164,Sector 45,4,2286,12778,29210508,18,Yes
PROP0165,DLF Phase 1,2,1359,15296,20787264,17,No
PROP0166,New Gurgaon,4,2472,21180,52356960,14,Yes
PROP0167,Sector 42,5,2571,11787,30304377,6,Yes
PROP0168,DLF Phase 2,5,2800,17063,47776400,9,No
PROP0169,Sector 45,3,1984,13623,27028032,9,Yes
PROP0170,Sushant Lok,4,2619,23051,60370569,7,No
PROP0171,Sector 56,2,1766,14078,24861748,3,Yes
PROP0172,Sushant Lok,4,2540,24016,61000640,0,No
PROP0173,Sector 56,4,2120,15316,32469920,15,Yes
PROP0174,Sector 45,6,2661,13988,37222068,6,Yes
PROP0175,Golf Course Road,4,2454,19374,47543796,3,Yes
PROP0176,Sector 56,2,1708,13322,22753976,10,Yes
PROP0177,Sector 56,3,1773,15428,27353844,8,Yes
PROP0178,DLF Phase 2,5,2386,18361,43809346,9,No
PROP0179,Sector 56,3,1915,14249,27286835,5,No
PROP0180,New Gurgaon,4,2476,22906,56715256,7,Yes
PROP0181,Sector 56,2,1622,13978,22672316,13,No
PROP0182,New Gurgaon,4,2308,21744,50185152,4,No
PROP0183,DLF Phase 1,1,1338,17687,23665206,10,Yes
PROP0184,Sohna Road,4,2267,20985,47572995,19,Yes
PROP0185,Sector 50,4,2289,14020,32091780,19,Yes
PROP0186,Sushant Lok,3,1891,23485,44410135,19,Yes
PROP0187,Sector 42,4,2007,11327,22733289,6,No
PROP0188,DLF Phase 1,3,1706,15651,26700606,11,No
PROP0189,DLF Phase 2,6,2880,19430,55958400,17,No
PROP0190,Sector 42,1,1179,8616,10158264,5,Yes
PROP0191,Sohna Road,4,2535,21183,53698905,2,Yes
PROP0192,Sector 45,3,1885,11931,22489935,6,Yes
PROP0193,Sushant Lok,4,2555,25756,65806580,1,No
PROP0194,Sector 56,2,1477,13037,19255649,20,Yes
PROP0195,Sohna Road,2,1744,21029,36674576,5,Yes
PROP0196,Sushant Lok,2,1512,22213,33586056,3,Yes
PROP0197,Sector 42,2,1636,10053,16446708,19,Yes
PROP0198,Sector 45,2,1825,11307,20635275,11,Yes
PROP0199,New Gurgaon,3,2033,22655,46057615,13,Yes
PROP0200,New Gurgaon,3,1728,21756,37594368,9,No
PROP0201,Sector 42,3,1939,11865,23006235,19,No
PROP0202,Golf Course Road,3,2044,19176,39195744,11,Yes
PROP0203,Sector 45,2,1522,11226,17085972,1,Yes
PROP0204,DLF Phase 1,4,2247,17217,38686599,8,Yes
PROP0205,Golf Course Road,3,2248,18995,42700760,7,Yes
PROP0206,Sector 56,1,1310,13079,17133490,0,Yes
PROP0207,DLF Phase 1,3,2297,17936,41198992,2,No
PROP0208,DLF Phase 2,2,1301,17948,23350348,13,Yes
PROP0209,DLF Phase 2,3,1607,17572,28238204,13,Yes
PROP0210,Sushant Lok,3,1844,22800,42043200,12,Yes
PROP0211,DLF Phase 1,5,2832,18926,53598432,8,Yes
PROP0212,DLF Phase 1,5,2518,17550,44190900,3,No
PROP0213,Golf Course Road,5,2654,19321,51277934,2,No
PROP0214,Sector 45,2,1437,11768,16910616,4,Yes
PROP0215,Sector 42,6,2906,11868,34488408,13,Yes
PROP0216,Sector 50,2,1433,16049,22998217,1,Yes
PROP0217,Sushant Lok,3,1901,21697,41245997,18,Yes
PROP0218,Sector 50,3,2103,12492,26270676,5,Yes
PROP0219,New Gurgaon,4,2380,22688,53997440,15,Yes
PROP0220,DLF Phase 2,4,2205,19095,42104475,5,Yes
PROP0221,New Gurgaon,1,903,19818,17895654,18,Yes
PROP0222,Sector 45,3,1825,11897,21712025,11,Yes
PROP0223,Sohna Road,2,1508,18834,28401672,8,No
PROP0224,Golf Course Road,4,2372,19776,46908672,11,No
PROP0225,Sohna Road,3,2017,19751,39837767,19,Yes
PROP0226,Sector 42,4,2582,9484,24487688,1,Yes
PROP0227,Sector 42,4,2442,11350,27716700,13,Yes
PROP0228,Sohna Road,3,2079,20580,42785820,12,Yes
PROP0229,Sector 56,4,2098,16175,33935150,1,Yes
PROP0230,DLF Phase 2,4,2259,16873,38116107,17,No
PROP0231,Sector 50,3,2025,13477,27290925,7,Yes
PROP0232,Sector 42,4,2181,13279,28961499,14,Yes
PROP0233,Sushant Lok,4,2305,22264,51318520,10,No
PROP0234,Sohna Road,3,1802,20902,37665404,14,Yes
PROP0235,New Gurgaon,2,1794,21997,39462618,11,Yes
PROP0236,Sector 42,1,1434,11153,15993402,2,No
PROP0237,Sector 45,3,1611,11073,17838603,15,Yes
PROP0238,Sector 45,2,1622,11107,18015554,12,Yes
PROP0239,Sector 45,4,2488,13084,32552992,6,No
PROP0240,Golf Course Road,5,2514,19737,49618818,14,No
PROP0241,Sushant Lok,4,2123,25173,53442279,10,Yes
PROP0242,New Gurgaon,3,2164,21101,45662564,2,Yes
PROP0243,Sector 50,4,2201,16219,35698019,2,Yes
PROP0244,DLF Phase 2,2,1804,18215,32859860,12,Yes
PROP0245,Golf Course Road,3,1959,19481,38163279,1,Yes
PROP0246,Sector 56,3,1862,13435,25015970,8,Yes
PROP0247,Sohna Road,3,1749,20942,36627558,1,No
PROP0248,Sector 42,3,2095,8633,18086135,2,Yes
PROP0249,Golf Course Road,6,2889,20812,60125868,0,No
PROP0250,New Gurgaon,2,1687,20517,34612179,10,No
PROP0251,Sushant Lok,5,2391,24355,58232805,12,Yes
PROP0252,Sohna Road,3,1665,20627,34343955,7,Yes
PROP0253,Sohna Road,4,2143,20184,43254312,14,Yes
PROP0254,DLF Phase 1,3,1903,18208,34649824,9,Yes
PROP0255,DLF Phase 1,2,1532,16373,25083436,3,No
PROP0256,Sector 45,6,3023,12966,39196218,11,Yes
PROP0257,New Gurgaon,2,1162,20014,23256268,10,Yes
PROP0258,New Gurgaon,4,2529,23491,59408739,2,Yes
PROP0259,DLF Phase 2,5,2699,17821,48098879,6,Yes
PROP0260,Sector 42,3,2000,9925,19850000,18,Yes
PROP0261,Golf Course Road,4,2093,17889,37441677,19,Yes
PROP0262,Sector 50,4,2239,17151,38401089,1,Yes
PROP0263,New Gurgaon,1,1218,20234,24645012,1,Yes
PROP0264,Sector 45,3,1913,13621,26056973,17,Yes
PROP0265,DLF Phase 1,3,2125,17253,36662625,17,Yes
PROP0266,Sector 50,4,2087,13615,28414505,18,Yes
PROP0267,Sushant Lok,3,2055,21793,44784615,10,Yes
PROP0268,Sector 45,3,1565,14389,22518785,11,Yes
PROP0269,Sushant Lok,4,2769,21926,60713094,7,Yes
PROP0270,Sushant Lok,4,1739,23196,40337844,16,No
PROP0271,Sector 42,4,2278,10251,23351778,19,Yes
PROP0272,Golf Course Road,4,2336,20955,48950880,16,Yes
PROP0273,New Gurgaon,3,2163,20676,44722188,15,No
PROP0274,Sushant Lok,4,2259,25473,57543507,16,Yes
PROP0275,Golf Course Road,3,1753,19031,33361343,13,Yes
PROP0276,Sector 56,3,2012,15659,31505908,3,No
PROP0277,Sushant Lok,3,1758,21681,38115198,10,Yes
PROP0278,Sohna Road,2,1883,20832,39226656,2,Yes
PROP0279,Sushant Lok,2,1648,22989,37885872,5,Yes
PROP0280,DLF Phase 1,4,2373,18023,42768579,10,Yes
PROP0281,Golf Course Road,2,1512,19206,29039472,9,Yes
PROP0282,DLF Phase 1,3,1787,16962,30311094,19,Yes
PROP0283,DLF Phase 1,3,1972,16194,31934568,9,Yes
PROP0284,Sector 42,4,2116,11422,24168952,2,No
PROP0285,DLF Phase 2,4,1933,20131,38913223,11,Yes
PROP0286,Sector 42,5,2573,11332,29157236,6,Yes
PROP0287,Sector 50,4,2358,14850,35016300,10,No
PROP0288,Sector 56,5,2413,18059,43576367,2,Yes
PROP0289,Sohna Road,2,1738,19313,33565994,18,No
PROP0290,Sohna Road,2,1646,20050,33002300,13,No
PROP0291,DLF Phase 1,5,2719,18574,50502706,9,Yes
PROP0292,Sushant Lok,2,1941,21080,40916280,9,Yes
PROP0293,DLF Phase 2,4,2326,18582,43221732,16,Yes
PROP0294,New Gurgaon,3,2135,23032,49173320,11,Yes
PROP0295,Sector 42,3,1697,11339,19242283,8,Yes
PROP0296,Sector 50,3,2308,14980,34573840,1,Yes
PROP0297,Sector 50,4,2267,16132,36571244,1,Yes
PROP0298,Golf Course Road,4,2339,18577,43451603,18,Yes
PROP0299,Sector 50,5,2849,14550,41452950,4,Yes
PROP0300,DLF Phase 2,2,1461,16661,24341721,15,Yes
PROP0301,Sushant Lok,5,2490,25524,63554760,18,Yes
PROP0302,Sohna Road,3,2095,20289,42505455,12,Yes
PROP0303,Sushant Lok,4,2538,23454,59526252,12,Yes
PROP0304,Sector 50,4,2388,15702,37496376,10,Yes
PROP0305,Golf Course Road,5,2425,20805,50452125,3,Yes
PROP0306,Sector 45,4,2132,14200,30274400,6,Yes
PROP0307,Sector 50,4,2364,15229,36001356,18,Yes
PROP0308,Golf Course Road,5,2734,20263,55399042,5,Yes
PROP0309,Sector 45,3,1703,13951,23758553,8,Yes
PROP0310,New Gurgaon,2,1858,20929,38886082,18,Yes
PROP0311,Sector 56,2,1788,13987,25008756,13,Yes
PROP0312,Sohna Road,3,1795,20591,36960845,19,Yes
PROP0313,New Gurgaon,4,2296,24884,57133664,17,Yes
PROP0314,Sector 45,4,2343,12971,30391053,4,Yes
PROP0315,Sohna Road,3,2170,19715,42781550,14,No
PROP0316,Sector 50,3,1990,13199,26266010,7,Yes
PROP0317,Sector 42,4,2175,9849,21421575,12,Yes
PROP0318,New Gurgaon,1,1375,20426,28085750,7,Yes
PROP0319,DLF Phase 2,6,2854,18353,52379462,13,Yes
PROP0320,Sector 45,5,2801,12634,35387834,9,Yes
PROP0321,New Gurgaon,5,2565,21741,55765665,2,Yes
PROP0322,Golf Course Road,3,1869,20967,39187323,16,No
PROP0323,Sector 45,2,1637,11760,19251120,1,Yes
PROP0324,Sohna Road,5,2403,21714,52178742,6,Yes
PROP0325,Golf Course Road,5,2712,20760,56301120,13,Yes
PROP0326,Sohna Road,2,1859,18922,35175998,12,Yes
PROP0327,Sector 50,4,1898,13895,26372710,5,No
PROP0328,Sector 56,4,2291,18551,42500341,8,Yes
PROP0329,DLF Phase 1,3,1901,14326,27233726,17,Yes
PROP0330,Sector 50,2,1465,12282,17993130,18,No
PROP0331,Sector 50,2,1610,13402,21577220,7,Yes
PROP0332,Golf Course Road,3,2133,18304,39042432,16,No
PROP0333,Sector 50,2,1786,12455,22244630,5,Yes
PROP0334,Sector 45,5,2845,13253,37704785,19,Yes
PROP0335,New Gurgaon,2,1631,21071,34366801,19,Yes
PROP0336,Sector 50,4,2391,15000,35865000,12,No
PROP0337,Sohna Road,4,2265,20386,46174290,15,Yes
PROP0338,DLF Phase 2,5,2655,18922,50237910,19,Yes
PROP0339,Sector 45,1,1039,9861,10245579,12,No
PROP0340,DLF Phase 1,3,2300,16522,38000600,7,No
PROP0341,Sector 45,2,1477,9482,14004914,0,Yes
PROP0342,Sohna Road,3,2066,21826,45092516,6,Yes
PROP0343,Sector 45,2,1794,11216,20121504,17,Yes
PROP0344,DLF Phase 1,4,2308,17546,40496168,3,No
PROP0345,Sohna Road,4,2194,22064,48408416,17,Yes
PROP0346,Sector 45,2,1390,12643,17573770,11,Yes
PROP0347,DLF Phase 2,3,2130,17235,36710550,6,Yes
PROP0348,Sector 56,4,2481,16716,41472396,3,No
PROP0349,DLF Phase 2,3,1946,17621,34290466,15,No
PROP0350,DLF Phase 1,3,1938,15024,29116512,1,Yes
PROP0351,DLF Phase 1,3,2045,15116,30912220,3,No
PROP0352,Golf Course Road,2,1772,18273,32379756,5,Yes
PROP0353,Sector 50,5,2794,17959,50177446,5,No
PROP0354,Sector 45,4,2162,14069,30417178,10,Yes
PROP0355,Sushant Lok,2,1926,20363,39219138,14,No
PROP0356,Sohna Road,4,2011,22122,44487342,17,No
PROP0357,DLF Phase 1,3,2026,16998,34437948,20,Yes
PROP0358,Sector 45,3,1773,10835,19210455,7,Yes
PROP0359,Sector 50,2,2035,11101,22590535,9,No
PROP0360,Sushant Lok,3,1719,21801,37475919,4,Yes
PROP0361,Sohna Road,3,1636,18065,29554340,8,No
PROP0362,DLF Phase 1,5,2631,15749,41435619,8,Yes
PROP0363,Sushant Lok,1,1195,23022,27511290,12,Yes
PROP0364,Sector 45,2,1626,11064,17990064,17,Yes
PROP0365,Sector 56,3,1738,14082,24474516,6,No
PROP0366,DLF Phase 2,5,2652,19316,51226032,13,No
PROP0367,Sector 50,4,2238,14923,33397674,5,No
PROP0368,DLF Phase 2,3,2053,15777,32390181,3,Yes
PROP0369,Sector 50,3,2028,13476,27329328,16,No
PROP0370,New Gurgaon,6,2960,25074,74219040,12,Yes
PROP0371,New Gurgaon,5,2678,23872,63929216,0,Yes
PROP0372,DLF Phase 1,4,2521,16414,41379694,19,Yes
PROP0373,Sector 56,2,1640,14892,24422880,13,Yes
PROP0374,DLF Phase 2,5,2612,18136,47371232,18,Yes
PROP0375,Sector 56,3,1786,14971,26738206,16,Yes
PROP0376,DLF Phase 1,3,2026,16318,33060268,0,No
PROP0377,Sector 45,4,2134,12890,27507260,7,Yes
PROP0378,DLF Phase 1,3,2246,16722,37557612,8,No
PROP0379,Sector 45,5,2733,14707,40194231,11,Yes
PROP0380,Sohna Road,3,2171,19559,42462589,12,Yes
PROP0381,Sector 50,2,1580,14529,22955820,18,Yes
PROP0382,Sector 42,4,2000,11309,22618000,10,No
PROP0383,Sector 42,1,1279,10582,13534378,5,Yes
PROP0384,Sector 42,5,2940,13025,38293500,13,Yes
PROP0385,Sector 42,3,1782,11325,20181150,4,Yes
PROP0386,Golf Course Road,3,1723,18020,31048460,5,Yes
PROP0387,DLF Phase 1,3,1678,16453,27608134,7,Yes
PROP0388,Golf Course Road,3,2169,19060,41341140,9,Yes
PROP0389,Sector 56,4,2394,15439,36960966,15,Yes
PROP0390,DLF Phase 2,3,2150,17900,38485000,6,Yes
PROP0391,DLF Phase 1,5,2617,19126,50052742,15,Yes
PROP0392,Sohna Road,2,1535,19696,30233360,19,Yes
PROP0393,Sushant Lok,4,2201,23246,51164446,1,Yes
PROP0394,Sector 45,5,2447,14674,35907278,2,Yes
PROP0395,Sector 50,4,1995,13938,27806310,10,Yes
PROP0396,Sector 50,3,2151,13025,28016775,12,No
PROP0397,Sohna Road,5,2693,24753,66659829,20,Yes
PROP0398,Sector 50,3,1747,14874,25984878,5,Yes
PROP0399,New Gurgaon,2,1465,21348,31274820,13,Yes
PROP0400,Sushant Lok,3,2137,22883,48900971,18,Yes
PROP0401,Golf Course Road,5,2779,20506,56986174,7,No
PROP0402,New Gurgaon,4,2108,21802,45958616,16,Yes
PROP0403,DLF Phase 2,3,2053,17190,35291070,16,Yes
PROP0404,Sector 45,3,1935,13180,25503300,11,Yes
PROP0405,Golf Course Road,4,2260,19940,45064400,4,Yes
PROP0406,New Gurgaon,6,2696,23590,63598640,4,No
PROP0407,Sector 56,2,1731,17663,30574653,1,Yes
PROP0408,Sohna Road,2,1868,19865,37107820,13,Yes
PROP0409,Sector 50,1,1357,12199,16554043,4,Yes
PROP0410,New Gurgaon,4,2018,21864,44121552,11,Yes
PROP0411,Golf Course Road,4,2290,20542,47041180,4,No
PROP0412,DLF Phase 2,4,2427,17512,42501624,17,Yes
PROP0413,Sector 56,3,1875,13838,25946250,7,Yes
PROP0414,DLF Phase 2,3,1863,17835,33226605,13,Yes
PROP0415,Sector 45,1,1136,10078,11448608,15,No
PROP0416,DLF Phase 2,3,1880,18377,34548760,0,Yes
PROP0417,DLF Phase 2,3,2060,16619,34235140,6,Yes
PROP0418,Sector 56,5,2716,14246,38692136,3,Yes
PROP0419,New Gurgaon,4,2196,23365,51309540,20,No
PROP0420,Sector 42,2,1632,10218,16675776,13,Yes
PROP0421,Sector 45,3,1818,11106,20190708,6,Yes
PROP0422,Sector 56,4,2461,14247,35061867,15,Yes
PROP0423,Sushant Lok,3,1741,22997,40037777,18,No
PROP0424,DLF Phase 1,3,1961,15068,29548348,17,Yes
PROP0425,Sushant Lok,4,2293,23632,54188176,13,Yes
PROP0426,Sushant Lok,2,1529,20661,31590669,0,Yes
PROP0427,Sector 45,3,2063,13279,27394577,9,Yes
PROP0428,New Gurgaon,3,1887,23340,44042580,8,Yes
PROP0429,Sector 50,2,1460,12332,18004720,18,Yes
PROP0430,Sector 45,2,1328,11163,14824464,7,No
PROP0431,Sector 42,2,1457,8925,13003725,17,Yes
PROP0432,Sector 42,3,2083,12322,25666726,11,Yes
PROP0433,Sushant Lok,5,2977,23490,69929730,16,Yes
PROP0434,Sector 50,2,1459,13905,20287395,18,Yes
PROP0435,DLF Phase 1,4,2304,15117,34829568,12,Yes
PROP0436,Sector 50,3,2286,14510,33169860,14,Yes
PROP0437,DLF Phase 1,3,1879,16464,30935856,8,Yes
PROP0438,DLF Phase 1,3,1620,14612,23671440,15,No
PROP0439,Sohna Road,3,2050,21497,44068850,4,No
PROP0440,Sector 56,4,2147,15781,33881807,16,Yes
PROP0441,Golf Course Road,3,1659,19286,31995474,15,Yes
PROP0442,Sohna Road,3,1969,21107,41559683,6,No
PROP0443,DLF Phase 1,6,3282,17037,55915434,19,Yes
PROP0444,Sector 50,5,2457,15110,37125270,10,Yes
PROP0445,Sector 45,4,2380,11761,27991180,13,Yes
PROP0446,Sohna Road,4,2435,19928,48524680,11,Yes
PROP0447,Sector 50,2,1764,14105,24881220,18,No
PROP0448,New Gurgaon,2,1520,19611,29808720,9,No
PROP0449,Sohna Road,3,1689,18504,31253256,8,Yes
PROP0450,Sushant Lok,5,2583,23550,60829650,14,No
PROP0451,Sector 42,4,2166,10835,23468610,13,Yes
PROP0452,Golf Course Road,3,1745,17203,30019235,10,Yes
