CustomerID,Age,Gender,City,PreferredChannel,RecencyDays,PurchaseFrequency,MonetaryValue,TrueSegment
CUST100046,19,Male,Hyderabad,Online,103,6,1747.85,At Risk
CUST100047,34,Female,Chennai,Mobile App,39,16,4962.81,Loyal
CUST100048,33,Male,Pune,Online,10,13,1641.54,Loyal
CUST100049,24,Male,Chennai,Online,141,6,1075.15,At Risk
CUST100050,41,Other,Noida,Online,20,18,5986.61,Champions
CUST100051,24,Female,Chennai,Online,48,19,1772.01,Loyal
CUST100052,38,Male,Hyderabad,Store,18,23,5335.65,Champions
CUST100053,42,Female,Pune,Mobile App,161,7,2034.1,At Risk
CUST100054,37,Male,Delhi,Online,236,6,1495.79,At Risk
CUST100055,24,Female,Hyderabad,Online,125,5,1331.43,At Risk
CUST100056,34,Female,Hyderabad,Online,115,8,1617.4,At Risk
CUST100057,36,Male,Bengaluru,Store,38,6,787.63,Potential Loyalists
CUST100058,21,Male,Mumbai,Mobile App,24,11,2211.96,Potential Loyalists
CUST100059,32,Male,Kolkata,Online,29,21,3954.31,Champions
CUST100060,20,Male,Kolkata,Store,33,29,7221.99,Champions
CUST100061,42,Female,Delhi,Mobile App,116,7,1888.54,At Risk
CUST100062,23,Female,Delhi,Online,97,8,2344.04,Potential Loyalists
CUST100063,26,Male,Delhi,Mobile App,53,9,2157.4,Potential Loyalists
CUST100064,48,Male,Noida,Mobile App,163,11,1372.01,At Risk
CUST100065,46,Female,Hyderabad,Mobile App,203,7,710.93,At Risk
CUST100066,37,Female,Noida,Store,54,10,2294.51,Potential Loyalists
CUST100067,19,Female,Chennai,Store,56,8,1875.97,Potential Loyalists
CUST100068,39,Male,Chennai,Mobile App,17,15,2779.36,Loyal
CUST100069,37,Male,Kolkata,Mobile App,12,23,4895.0,Champions
CUST100070,52,Female,Mumbai,Store,61,8,2470.75,Potential Loyalists
CUST100071,44,Female,Chennai,Store,35,13,1839.79,Loyal
CUST100072,44,Female,Noida,Store,90,7,1825.77,Potential Loyalists
CUST100073,28,Female,Pune,Online,262,3,986.81,Lost
CUST100074,45,Female,Chennai,Online,40,9,4059.84,Loyal
CUST100075,18,Male,Bengaluru,Online,34,21,8252.88,Champions
CUST100076,28,Male,Mumbai,Mobile App,41,12,7835.06,Loyal
CUST100077,28,Female,Mumbai,Mobile App,55,14,3279.28,Loyal
CUST100078,47,Female,Bengaluru,Mobile App,126,5,1200.53,At Risk
CUST100079,38,Female,Delhi,Store,44,6,2037.06,Potential Loyalists
CUST100080,52,Male,Chennai,Store,124,6,1480.49,At Risk
CUST100081,35,Male,Hyderabad,Online,125,7,1639.91,At Risk
CUST100082,43,Female,Bengaluru,Online,35,9,1670.9,Potential Loyalists
CUST100083,44,Male,Bengaluru,Store,144,9,2678.14,At Risk
CUST100084,47,Female,Chennai,Mobile App,41,16,1257.01,Loyal
CUST100085,45,Female,Kolkata,Online,14,25,6052.39,Champions
CUST100086,49,Male,Chennai,Online,18,29,5861.98,Champions
CUST100087,31,Male,Noida,Online,175,6,3542.72,At Risk
CUST100088,28,Male,Hyderabad,Online,102,3,1536.98,Potential Loyalists
CUST100089,37,Female,Delhi,Mobile App,47,11,2822.79,Loyal
CUST100090,42,Male,Hyderabad,Online,107,7,1061.14,Potential Loyalists
CUST100091,22,Male,Mumbai,Mobile App,1,27,5953.43,Champions
CUST100092,42,Male,Delhi,Online,115,6,3600.9,At Risk
CUST100093,41,Female,Pune,Mobile App,25,7,1960.42,Potential Loyalists
CUST100094,33,Male,Hyderabad,Mobile App,57,13,3287.67,Loyal
CUST100095,39,Female,Delhi,Store,24,10,4133.84,Loyal
CUST100096,50,Female,Bengaluru,Store,134,7,830.96,At Risk
CUST100097,24,Male,Chennai,Store,54,15,3099.77,Loyal
CUST100098,20,Other,Pune,Store,7,29,2841.7,Champions
CUST100099,37,Male,Hyderabad,Online,14,22,8213.28,Champions
CUST100100,39,Female,Hyderabad,Online,363,1,543.63,Lost
CUST100101,42,Male,Chennai,Store,184,3,1409.02,Lost
CUST100102,31,Male,Hyderabad,Online,106,9,1502.45,At Risk
CUST100103,24,Male,Kolkata,Online,19,10,4159.55,Loyal
CUST100104,25,Male,Pune,Store,231,2,60.99,Lost
CUST100105,52,Female,Noida,Store,159,6,2951.14,At Risk
CUST100106,43,Female,Mumbai,Online,93,5,3250.86,At Risk
CUST100107,31,Female,Mumbai,Online,38,8,1226.0,Potential Loyalists
CUST100108,43,Male,Hyderabad,Online,56,8,6793.79,Loyal
CUST100109,32,Male,Chennai,Online,14,19,9511.98,Champions
CUST100110,50,Other,Kolkata,Mobile App,364,4,788.77,Lost
CUST100111,22,Female,Mumbai,Store,84,9,1285.08,Potential Loyalists
CUST100112,47,Male,Bengaluru,Store,14,15,2940.51,Loyal
CUST100113,36,Male,Kolkata,Mobile App,65,15,4683.45,Loyal
CUST100114,35,Male,Bengaluru,Store,61,12,1042.19,Potential Loyalists
CUST100115,36,Male,Chennai,Online,18,13,5075.51,Loyal
CUST100116,30,Male,Noida,Mobile App,304,2,519.15,Lost
CUST100117,33,Female,Noida,Store,118,6,2027.52,At Risk
CUST100118,46,Female,Kolkata,Store,159,6,1981.98,At Risk
CUST100119,44,Male,Mumbai,Store,31,4,1588.85,Potential Loyalists
CUST100120,38,Male,Hyderabad,Store,104,9,2071.45,At Risk
CUST100121,43,Female,Hyderabad,Store,112,7,2641.42,Potential Loyalists
CUST100122,35,Female,Kolkata,Store,184,9,1494.17,At Risk
CUST100123,49,Male,Hyderabad,Store,26,26,8578.27,Champions
CUST100124,51,Female,Pune,Online,24,11,1909.26,Potential Loyalists
CUST100125,35,Male,Hyderabad,Store,4,28,3343.49,Champions
CUST100126,18,Female,Noida,Store,47,7,1605.62,Potential Loyalists
CUST100127,37,Female,Bengaluru,Store,14,13,4026.09,Loyal
CUST100128,45,Male,Chennai,Online,31,19,8077.73,Champions
CUST100129,30,Female,Noida,Mobile App,5,21,6081.01,Champions
CUST100130,35,Female,Delhi,Online,96,5,1956.92,Potential Loyalists
CUST100131,20,Female,Pune,Online,56,13,3664.44,Loyal
CUST100132,44,Female,Mumbai,Store,302,3,391.36,Lost
CUST100133,52,Male,Pune,Online,82,14,3468.53,Potential Loyalists
CUST100134,49,Male,Noida,Online,12,14,3318.6,Loyal
CUST100135,33,Male,Chennai,Store,102,5,1998.58,Potential Loyalists
CUST100136,37,Male,Noida,Mobile App,7,18,10082.81,Champions
CUST100137,43,Female,Delhi,Online,226,2,1032.53,Lost
CUST100138,41,Male,Chennai,Online,86,6,5606.26,Potential Loyalists
CUST100139,27,Other,Kolkata,Store,196,6,1766.97,At Risk
CUST100140,26,Male,Chennai,Mobile App,22,23,5934.45,Champions
CUST100141,41,Male,Bengaluru,Store,61,9,3599.9,Potential Loyalists
CUST100142,32,Female,Chennai,Store,84,5,1251.16,Potential Loyalists
CUST100143,36,Male,Mumbai,Mobile App,280,5,1663.38,Lost
CUST100144,48,Male,Bengaluru,Store,22,6,3786.9,Potential Loyalists
CUST100145,33,Female,Mumbai,Mobile App,63,6,1448.86,Potential Loyalists
CUST100146,18,Female,Kolkata,Mobile App,36,12,2806.48,Loyal
CUST100147,33,Male,Kolkata,Online,59,11,1689.92,Loyal
CUST100148,30,Male,Pune,Online,56,5,2260.79,Potential Loyalists
CUST100149,28,Female,Kolkata,Online,56,5,3259.37,Potential Loyalists
CUST100150,36,Other,Kolkata,Store,1,23,5317.33,Champions
CUST100151,33,Female,Pune,Online,189,3,70.79,Lost
CUST100152,48,Female,Delhi,Store,234,4,786.67,Lost
CUST100153,37,Female,Chennai,Online,5,24,4841.73,Champions
CUST100154,34,Female,Hyderabad,Online,49,10,1004.48,Potential Loyalists
CUST100155,31,Female,Mumbai,Mobile App,20,23,9795.66,Champions
CUST100156,32,Other,Chennai,Store,103,8,1900.42,At Risk
CUST100157,31,Male,Chennai,Online,16,12,1475.34,Loyal
CUST100158,23,Male,Bengaluru,Store,116,6,2747.4,At Risk
CUST100159,48,Female,Chennai,Online,161,9,1675.89,At Risk
CUST100160,18,Male,Hyderabad,Mobile App,162,11,874.26,At Risk
CUST100161,20,Female,Pune,Store,30,31,5769.46,Champions
CUST100162,39,Male,Chennai,Store,229,5,484.49,Lost
CUST100163,30,Female,Pune,Store,55,15,4451.24,Loyal
CUST100164,39,Male,Pune,Store,30,16,11119.05,Champions
CUST100165,18,Male,Kolkata,Mobile App,97,11,1504.82,Potential Loyalists
CUST100166,44,Female,Mumbai,Online,31,13,5707.61,Loyal
CUST100167,23,Male,Mumbai,Online,341,6,622.12,Lost
CUST100168,36,Female,Delhi,Store,175,11,885.35,At Risk
CUST100169,51,Female,Delhi,Online,17,6,5419.46,Loyal
CUST100170,18,Male,Hyderabad,Mobile App,274,1,1294.82,Lost
CUST100171,56,Female,Hyderabad,Online,70,10,1827.64,Loyal
CUST100172,32,Female,Delhi,Online,37,8,770.04,Potential Loyalists
CUST100173,35,Male,Bengaluru,Online,41,12,2532.5,Loyal
CUST100174,30,Male,Hyderabad,Mobile App,250,6,456.28,Lost
CUST100175,25,Female,Mumbai,Mobile App,62,16,7135.17,Loyal
CUST100176,44,Female,Bengaluru,Online,2,23,3264.13,Champions
CUST100177,35,Female,Delhi,Store,105,5,2727.12,Potential Loyalists
CUST100178,35,Female,Pune,Mobile App,191,5,576.58,Lost
CUST100179,31,Male,Bengaluru,Online,220,4,1555.99,Lost
CUST100180,37,Female,Bengaluru,Online,93,6,2535.53,At Risk
CUST100181,18,Female,Chennai,Store,284,4,707.6,Lost
CUST100182,38,Female,Chennai,Mobile App,206,4,327.91,Lost
CUST100183,44,Male,Hyderabad,Store,26,5,1866.28,Potential Loyalists
CUST100184,19,Female,Delhi,Online,19,12,2588.24,Loyal
CUST100185,48,Male,Pune,Store,142,11,812.86,At Risk
CUST100186,21,Male,Pune,Mobile App,181,5,1618.91,At Risk
CUST100187,36,Male,Chennai,Online,69,10,3908.57,Loyal
CUST100188,60,Male,Noida,Mobile App,27,21,8346.95,Champions
CUST100189,34,Female,Chennai,Mobile App,169,12,3207.74,At Risk
CUST100190,42,Female,Pune,Store,53,12,2160.5,Loyal
CUST100191,33,Female,Bengaluru,Online,305,3,1820.68,Lost
CUST100192,45,Female,Pune,Online,44,12,1852.86,Loyal
CUST100193,18,Female,Mumbai,Store,28,25,7524.75,Champions
CUST100194,35,Male,Hyderabad,Online,351,3,586.85,Lost
CUST100195,38,Male,Hyderabad,Store,5,24,4794.55,Champions
CUST100196,42,Female,Delhi,Online,23,13,3226.49,Loyal
CUST100197,20,Male,Chennai,Store,39,8,2544.32,Potential Loyalists
CUST100198,47,Male,Mumbai,Store,239,1,609.73,Lost
CUST100199,28,Male,Chennai,Mobile App,63,12,1930.4,Loyal
CUST100200,46,Female,Kolkata,Mobile App,12,13,2354.99,Loyal
CUST100201,19,Female,Mumbai,Mobile App,206,4,1609.97,At Risk
CUST100202,32,Male,Hyderabad,Store,264,4,828.64,Lost
CUST100203,45,Female,Noida,Online,22,7,1257.97,Potential Loyalists
CUST100204,18,Male,Hyderabad,Store,25,17,4066.08,Champions
CUST100205,29,Male,Noida,Store,24,18,4908.81,Champions
CUST100206,40,Male,Delhi,Online,67,13,3664.0,Loyal
CUST100207,31,Female,Hyderabad,Store,10,23,4730.97,Champions
CUST100208,49,Female,Delhi,Online,201,5,2645.55,At Risk
CUST100209,36,Female,Bengaluru,Online,13,22,6949.15,Champions
CUST100210,18,Female,Pune,Mobile App,72,8,1444.45,Potential Loyalists
CUST100211,32,Female,Delhi,Online,103,7,2000.09,At Risk
CUST100212,34,Female,Chennai,Mobile App,83,8,1008.76,Potential Loyalists
CUST100213,40,Male,Bengaluru,Mobile App,69,8,1801.77,Loyal
CUST100214,32,Male,Mumbai,Mobile App,225,5,2743.56,At Risk
CUST100215,34,Male,Bengaluru,Store,120,9,3617.74,At Risk
CUST100216,33,Female,Mumbai,Online,184,10,904.98,At Risk
CUST100217,21,Male,Noida,Mobile App,5,31,3296.04,Champions
CUST100218,43,Male,Delhi,Store,25,21,1927.34,Champions
CUST100219,28,Female,Mumbai,Store,184,4,715.61,Lost
CUST100220,26,Female,Bengaluru,Store,53,20,2805.36,Loyal
CUST100221,39,Female,Kolkata,Mobile App,71,9,1977.27,Loyal
CUST100222,30,Male,Chennai,Mobile App,77,5,2665.58,Potential Loyalists
CUST100223,18,Male,Chennai,Store,181,6,1286.69,At Risk
CUST100224,46,Female,Mumbai,Store,268,4,545.1,Lost
CUST100225,36,Male,Mumbai,Mobile App,40,20,5683.2,Loyal
CUST100226,26,Female,Chennai,Online,242,3,554.89,Lost
CUST100227,35,Female,Bengaluru,Store,11,27,3598.62,Champions
CUST100228,48,Male,Hyderabad,Online,23,7,2327.32,Potential Loyalists
CUST100229,20,Female,Pune,Online,93,8,7402.03,At Risk
CUST100230,36,Female,Mumbai,Online,13,25,3309.76,Champions
CUST100231,41,Female,Hyderabad,Mobile App,1,17,6316.65,Champions
CUST100232,39,Female,Pune,Online,89,10,2100.22,Potential Loyalists
CUST100233,47,Other,Bengaluru,Online,335,3,807.85,Lost
CUST100234,41,Male,Chennai,Online,114,3,3123.7,Potential Loyalists
CUST100235,20,Female,Kolkata,Online,259,3,642.09,Lost
CUST100236,33,Male,Chennai,Online,158,9,1021.29,At Risk
CUST100237,32,Female,Mumbai,Store,116,8,2646.72,Potential Loyalists
CUST100238,29,Female,Bengaluru,Online,180,11,4561.32,At Risk
CUST100239,32,Female,Mumbai,Store,20,17,2199.85,Champions
CUST100240,22,Female,Bengaluru,Online,11,28,7594.99,Champions
CUST100241,44,Female,Bengaluru,Online,350,3,448.82,Lost
CUST100242,27,Female,Mumbai,Store,137,7,945.06,At Risk
CUST100243,36,Male,Delhi,Mobile App,65,8,3389.1,Loyal
CUST100244,29,Female,Delhi,Store,65,5,1310.39,Potential Loyalists
CUST100245,22,Male,Noida,Mobile App,65,4,1468.1,Potential Loyalists
CUST100246,32,Other,Bengaluru,Online,246,5,1885.74,Lost
CUST100247,24,Female,Mumbai,Store,35,9,1567.16,Potential Loyalists
CUST100248,39,Male,Mumbai,Online,27,4,2425.59,Potential Loyalists
CUST100249,18,Female,Pune,Online,26,10,5255.07,Loyal
CUST100250,48,Male,Hyderabad,Online,21,7,1333.49,Potential Loyalists
CUST100251,59,Female,Noida,Online,137,7,1921.28,At Risk
CUST100252,22,Female,Mumbai,Mobile App,218,2,762.37,Lost
CUST100253,43,Male,Hyderabad,Online,59,14,1120.56,Potential Loyalists
CUST100254,35,Male,Mumbai,Store,22,18,3056.93,Loyal
CUST100255,34,Male,Chennai,Mobile App,47,15,3434.55,Loyal
CUST100256,55,Female,Hyderabad,Mobile App,96,7,2754.81,At Risk
CUST100257,44,Male,Chennai,Online,164,13,3083.96,At Risk
CUST100258,28,Male,Hyderabad,Store,16,22,4302.58,Champions
CUST100259,33,Female,Mumbai,Mobile App,28,19,3326.27,Champions
CUST100260,28,Male,Mumbai,Mobile App,41,5,1634.42,Potential Loyalists
CUST100261,22,Female,Pune,Store,29,22,7437.53,Champions
CUST100262,35,Female,Delhi,Mobile App,272,3,614.61,Lost
CUST100263,37,Female,Mumbai,Mobile App,70,17,2115.67,Loyal
CUST100264,19,Male,Bengaluru,Online,28,22,6478.25,Champions
CUST100265,30,Female,Bengaluru,Online,243,3,853.62,Lost
CUST100266,31,Male,Pune,Mobile App,24,15,3140.92,Loyal
CUST100267,27,Male,Hyderabad,Online,20,16,2545.76,Loyal
CUST100268,38,Female,Pune,Mobile App,17,27,12100.44,Champions
CUST100269,18,Female,Pune,Online,25,19,5011.9,Champions
CUST100270,21,Other,Bengaluru,Online,31,21,2857.99,Champions
CUST100271,19,Female,Chennai,Online,26,24,4377.31,Champions
CUST100272,36,Female,Bengaluru,Online,71,14,2852.71,Loyal
CUST100273,18,Female,Pune,Online,11,25,4866.67,Champions
CUST100274,35,Female,Mumbai,Store,55,4,2418.15,Potential Loyalists
CUST100275,38,Female,Chennai,Mobile App,100,8,2382.89,At Risk
CUST100276,33,Male,Mumbai,Online,73,16,1644.93,Loyal
CUST100277,33,Female,Hyderabad,Online,19,12,2743.04,Loyal
CUST100278,25,Male,Hyderabad,Mobile App,34,6,3001.13,Potential Loyalists
CUST100279,22,Male,Delhi,Online,239,2,619.14,Lost
CUST100280,18,Female,Delhi,Store,359,2,477.75,Lost
CUST100281,24,Female,Kolkata,Online,23,23,5524.99,Champions
CUST100282,37,Female,Kolkata,Mobile App,29,14,3700.29,Loyal
CUST100283,33,Male,Mumbai,Online,58,14,7256.38,Loyal
CUST100284,32,Female,Hyderabad,Mobile App,31,15,3659.23,Loyal
CUST100285,35,Female,Hyderabad,Mobile App,76,7,3109.19,Potential Loyalists
CUST100286,32,Male,Pune,Online,63,10,3336.39,Potential Loyalists
CUST100287,27,Male,Kolkata,Mobile App,10,21,7304.72,Champions
CUST100288,34,Male,Pune,Mobile App,30,9,2898.53,Loyal
CUST100289,29,Male,Kolkata,Store,59,7,3634.15,Potential Loyalists
CUST100290,32,Female,Kolkata,Online,12,31,6444.13,Champions
CUST100291,35,Female,Noida,Store,235,6,1024.13,Lost
CUST100292,38,Female,Bengaluru,Online,26,22,7686.22,Champions
CUST100293,38,Female,Hyderabad,Mobile App,264,3,1357.07,Lost
CUST100294,32,Female,Noida,Store,18,25,4611.33,Champions
CUST100295,29,Female,Mumbai,Store,182,3,718.99,Lost
CUST100296,28,Female,Bengaluru,Store,243,3,272.39,Lost
CUST100297,18,Female,Hyderabad,Online,285,3,1162.84,Lost
CUST100298,22,Male,Hyderabad,Online,163,9,1305.63,At Risk
CUST100299,45,Female,Noida,Store,127,5,783.12,At Risk
CUST100300,51,Male,Pune,Online,225,12,402.43,At Risk
CUST100301,32,Male,Bengaluru,Store,158,12,2153.8,At Risk
CUST100302,31,Male,Pune,Store,11,21,10061.53,Champions
CUST100303,27,Other,Kolkata,Online,58,7,2336.32,Potential Loyalists
CUST100304,35,Male,Chennai,Online,66,6,2010.68,Potential Loyalists
CUST100305,30,Female,Chennai,Online,356,3,431.92,Lost
CUST100306,39,Female,Bengaluru,Online,88,5,3228.97,Potential Loyalists
CUST100307,22,Male,Delhi,Online,40,9,4391.36,Loyal
CUST100308,28,Male,Chennai,Store,185,9,4960.24,At Risk
CUST100309,34,Female,Bengaluru,Store,30,14,2055.55,Loyal
CUST100310,36,Male,Chennai,Mobile App,8,26,6489.45,Champions
CUST100311,46,Male,Mumbai,Online,93,4,3155.69,Potential Loyalists
CUST100312,31,Male,Kolkata,Online,30,5,2572.58,Potential Loyalists
CUST100313,34,Female,Hyderabad,Mobile App,32,7,1420.42,Loyal
CUST100314,18,Female,Delhi,Mobile App,35,8,4529.45,Loyal
CUST100315,36,Male,Noida,Store,38,13,4034.37,Loyal
CUST100316,30,Female,Chennai,Online,57,17,3333.16,Loyal
CUST100317,34,Male,Delhi,Store,10,12,1941.67,Loyal
CUST100318,24,Female,Hyderabad,Mobile App,165,10,649.99,At Risk
CUST100319,35,Male,Kolkata,Store,25,13,3064.91,Loyal
CUST100320,28,Male,Kolkata,Mobile App,184,8,2898.57,Lost
CUST100321,41,Female,Hyderabad,Online,196,7,1441.55,Lost
CUST100322,36,Female,Hyderabad,Online,104,5,3030.7,Potential Loyalists
CUST100323,34,Male,Kolkata,Online,31,14,2894.91,Loyal
CUST100324,40,Female,Hyderabad,Store,99,6,2129.11,Potential Loyalists
CUST100325,41,Male,Delhi,Online,232,2,646.76,Lost
CUST100326,36,Female,Chennai,Online,111,6,1691.98,At Risk
CUST100327,24,Female,Chennai,Online,102,6,1649.02,At Risk
CUST100328,46,Male,Kolkata,Online,37,8,899.46,Potential Loyalists
CUST100329,28,Female,Bengaluru,Store,235,8,1333.52,At Risk
CUST100330,33,Female,Hyderabad,Online,63,12,1654.29,Loyal
CUST100331,18,Male,Kolkata,Mobile App,221,6,2506.93,At Risk
CUST100332,42,Female,Bengaluru,Online,56,9,6726.76,Loyal
CUST100333,35,Female,Bengaluru,Store,152,8,2318.79,At Risk
CUST100334,37,Female,Pune,Online,324,5,1283.81,Lost
CUST100335,50,Other,Mumbai,Store,32,18,5278.95,Champions
CUST100336,46,Female,Chennai,Store,99,5,1997.0,Potential Loyalists
CUST100337,45,Female,Delhi,Mobile App,23,22,5567.81,Champions
CUST100338,38,Female,Hyderabad,Online,103,12,819.89,At Risk
CUST100339,32,Female,Hyderabad,Online,11,24,7736.54,Champions
CUST100340,18,Male,Bengaluru,Online,182,1,947.58,Lost
CUST100341,22,Female,Pune,Store,14,23,11709.03,Champions
CUST100342,54,Female,Bengaluru,Online,206,2,660.74,Lost
CUST100343,32,Male,Chennai,Online,154,5,615.47,At Risk
CUST100344,51,Female,Kolkata,Online,79,7,3789.67,Potential Loyalists
CUST100345,55,Male,Noida,Store,130,10,1902.59,At Risk
CUST100346,31,Female,Hyderabad,Online,99,13,2678.73,At Risk
CUST100347,33,Male,Hyderabad,Online,185,2,344.67,Lost
CUST100348,33,Male,Hyderabad,Mobile App,49,12,1665.44,Loyal
CUST100349,43,Male,Noida,Store,24,5,3172.72,Potential Loyalists
CUST100350,32,Male,Hyderabad,Store,8,24,4700.14,Champions
CUST100351,37,Female,Mumbai,Mobile App,46,7,2199.5,Potential Loyalists
CUST100352,24,Male,Noida,Mobile App,18,15,2203.17,Loyal
CUST100353,48,Male,Bengaluru,Online,50,5,667.88,Potential Loyalists
CUST100354,61,Male,Delhi,Mobile App,63,2,940.49,Potential Loyalists
CUST100355,32,Male,Noida,Mobile App,33,5,2535.06,Potential Loyalists
CUST100356,26,Male,Delhi,Online,112,7,987.04,Potential Loyalists
CUST100357,39,Male,Delhi,Mobile App,174,9,1142.49,At Risk
CUST100358,38,Female,Pune,Mobile App,143,9,1179.66,At Risk
CUST100359,49,Male,Delhi,Mobile App,45,8,2860.29,Potential Loyalists
CUST100360,27,Male,Mumbai,Online,25,7,1377.95,Potential Loyalists
CUST100361,28,Male,Hyderabad,Mobile App,278,1,654.68,Lost
CUST100362,28,Female,Mumbai,Online,4,24,8864.34,Champions
CUST100363,26,Male,Mumbai,Mobile App,26,24,10056.74,Champions
CUST100364,39,Female,Kolkata,Store,33,17,6416.28,Champions
CUST100365,25,Female,Pune,Store,159,4,176.24,At Risk
CUST100366,43,Female,Hyderabad,Store,62,5,1802.1,Potential Loyalists
CUST100367,43,Female,Hyderabad,Mobile App,90,7,627.46,At Risk
CUST100368,38,Female,Pune,Mobile App,175,7,1832.84,At Risk
CUST100369,45,Male,Noida,Mobile App,23,12,1960.73,Loyal
CUST100370,30,Female,Pune,Online,318,4,830.78,Lost
CUST100371,20,Male,Chennai,Online,120,13,621.93,At Risk
CUST100372,29,Male,Noida,Online,49,12,4944.19,Loyal
CUST100373,25,Male,Chennai,Store,26,15,2074.77,Loyal
CUST100374,41,Male,Pune,Mobile App,19,13,3979.21,Loyal
CUST100375,40,Male,Bengaluru,Store,4,20,4779.85,Champions
CUST100376,34,Female,Delhi,Online,6,16,4475.86,Champions
CUST100377,25,Male,Noida,Mobile App,354,5,823.98,Lost
CUST100378,18,Female,Noida,Store,62,6,820.78,Potential Loyalists
CUST100379,24,Female,Chennai,Mobile App,47,12,3028.76,Loyal
CUST100380,20,Male,Bengaluru,Store,150,6,1859.1,At Risk
CUST100381,55,Male,Kolkata,Mobile App,73,10,784.66,Potential Loyalists
CUST100382,29,Male,Pune,Mobile App,270,3,469.27,Lost
CUST100383,31,Female,Chennai,Store,114,4,1053.98,At Risk
CUST100384,35,Female,Mumbai,Online,41,6,2260.33,Potential Loyalists
CUST100385,41,Female,Hyderabad,Mobile App,35,10,957.13,Loyal
CUST100386,37,Female,Kolkata,Mobile App,242,3,977.58,Lost
CUST100387,27,Female,Hyderabad,Mobile App,231,8,2872.15,At Risk
CUST100388,33,Female,Pune,Store,208,6,414.56,Lost
CUST100389,38,Female,Mumbai,Mobile App,2,25,3100.93,Champions
CUST100390,25,Female,Mumbai,Online,307,3,1355.76,Lost
CUST100391,26,Male,Delhi,Mobile App,239,10,1151.37,At Risk
CUST100392,21,Other,Bengaluru,Mobile App,22,26,3248.0,Champions
CUST100393,40,Female,Noida,Online,57,8,3309.93,Potential Loyalists
CUST100394,52,Male,Delhi,Online,130,5,4460.76,At Risk
CUST100395,45,Male,Mumbai,Online,2,26,3896.19,Champions
CUST100396,35,Female,Mumbai,Mobile App,51,5,1307.83,Potential Loyalists
CUST100397,18,Male,Pune,Mobile App,259,5,174.45,Lost
CUST100398,31,Female,Chennai,Online,13,16,1777.72,Loyal
CUST100399,20,Female,Chennai,Online,47,11,1391.71,Potential Loyalists
